oyuncu,takim,tum_takimlar,transfer,mac_sayisi,ilk11_mac,yedek_mac,gol_sayisi,gol_ayak,gol_kafa,penalti_gol,gol_ort,sari_kart,kirmizi_kart,toplam_dakika
FAUSTINA WORWORNYO AKPO,SERCAN İNŞAAT GAZİANTEP ALG SPOR,SERCAN İNŞAAT GAZİANTEP ALG SPOR,False,2,2,0,0,0,0,0,0.0,0,0,180
ERVA KARAKUŞ,FATİH VATAN SPOR,FATİH VATAN SPOR,False,2,0,2,0,0,0,0,0.0,0,0,16
ALİYE TECER,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,2,1,1,0,0,0,0,0.0,0,0,115
RABİA SOLAK,FATİH VATAN SPOR,FATİH VATAN SPOR,False,2,1,1,0,0,0,0,0.0,0,0,94
ECRİN NAZ ŞENTÜRK,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA / ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,True,2,1,1,0,0,0,0,0.0,0,0,103
GÖZDE UÇAR,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,2,0,2,0,0,0,0,0.0,0,0,69
MEVLÜDE MELEK OKUYAN,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,2,0,2,0,0,0,0,0.0,0,0,49
BÜŞRA KENET,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,2,2,0,0,0,0,0,0.0,0,0,180
ECE AYDIN,ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,False,2,2,0,0,0,0,0,0.0,0,0,180
DİLARASU PILIÇ,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,1,0,1,1,1,0,0,1.0,0,0,35
SÜMEYRA KIVANÇ,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,1,1,0,0,0,0,0,0.0,0,0,90
NİSA DEREN KANDEMİR,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,1,0,1,0,0,0,0,0.0,0,0,0
NAZLI PEKER,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,1,0,1,0,0,0,0,0.0,0,0,0
MERVE NUR TAŞUCU,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,1,0,1,0,0,0,0,0.0,0,0,7
SÜMEYYE TERTEMİZ,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,1,0,1,0,0,0,0,0.0,0,0,0
CHUENE PRECIOUS MORIFI,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,1,0,1,0,0,0,0,0.0,0,0,20
ZEYNEP ERDOĞAN,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,1,0,0,0,0,0,0.0,1,0,90
DENİZ AY,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,0,1,0,0,0,0,0.0,0,0,80
